,name,institution,old_country_name_acquired,current_country_name_acquired,city,state,year,field,acquired_lat,acquired_lon,acquired_country_short_name,birth_country_old_name,birth_country_current_name,birth_lat,birth_lon,birth_country_short_name,age
862,Zhores I. Alferov,A.F. Ioffe Physico-Technical Institute,Russia,Russia,St. Petersburg,,2000,Physics,59.9342802,30.3350986,RU,USSR,Belarus,53.709807,27.953389,BY,70
367,Ivan Pavlov,Military Medical Academy,Russia,Russia,St. Petersburg,,1904,Physiology or Medicine,59.9342802,30.3350986,RU,Russia,Russia,61.52401,105.318756,RU,55
404,Jens C. Skou,Aarhus University,Denmark,Denmark,Aarhus,,1997,Chemistry,56.162939,10.203921,DK,Denmark,Denmark,56.26392,9.501785,DK,79
138,Dale T. Mortensen,Aarhus University,Denmark,Denmark,Aarhus,,2010,Economic Sciences,56.162939,10.203921,DK,USA,USA,37.09024,-95.712891,US,71
138,Dale T. Mortensen,Northwestern University,USA,USA,Evanston,IL,2010,Economic Sciences,42.0450722,-87.6876969,US,USA,USA,37.09024,-95.712891,US,71
494,Lev Landau,Academy of Sciences,Russia,Russia,Moscow,,1962,Physics,55.755826,37.6173,RU,Russian Empire,Azerbaijan,40.143105,47.576927,AZ,54
636,Pyotr Kapitsa,Academy of Sciences,Russia,Russia,Moscow,,1978,Physics,55.755826,37.6173,RU,Russian Empire,Russia,61.52401,105.318756,RU,84
491,Leonid Vitaliyevich Kantorovich,Academy of Sciences,Russia,Russia,Moscow,,1975,Economic Sciences,55.755826,37.6173,RU,Russian Empire,Russia,61.52401,105.318756,RU,63
575,Nikolay Semenov,Institute for Chemical Physics of the Academy of Sciences of the USSR,Russia,Russia,Moscow,,1956,Chemistry,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,60
811,Vitaly L. Ginzburg,P.N. Lebedev Physical Institute,Russia,Russia,Moscow,,2003,Physics,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,87
615,Pavel A. Cherenkov,P.N. Lebedev Physical Institute,Russia,Russia,Moscow,,1958,Physics,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,54
355,Igor Y. Tamm,P.N. Lebedev Physical Institute,Russia,Russia,Moscow,,1958,Physics,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,63
355,Igor Y. Tamm,University of Moscow,Russia,Russia,Moscow,,1958,Physics,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,63
358,Il´ja M. Frank,P.N. Lebedev Physical Institute,Russia,Russia,Moscow,,1958,Physics,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,50
358,Il´ja M. Frank,University of Moscow,Russia,Russia,Moscow,,1958,Physics,55.755826,37.6173,RU,Russia,Russia,61.52401,105.318756,RU,50
570,Nicolay G. Basov,P.N. Lebedev Physical Institute,Russia,Russia,Moscow,,1964,Physics,55.755826,37.6173,RU,USSR,Russia,61.52401,105.318756,RU,42
