name,age
Malala Yousafzai,17
Lawrence Bragg,25
Werner Heisenberg,31
Paul A.M. Dirac,31
Carl D. Anderson,31
Tsung-Dao Lee,31
Rudolf Mössbauer,32
Frederick G. Banting,32
Mairead Corrigan,32
Tawakkol Karman,32
Brian D. Josephson,33
Joshua Lederberg,33
Betty Williams,33
Rigoberta Menchú Tum,33
Donald A. Glaser,34
James Watson,34
Guglielmo Marconi,35
Max von Laue,35
Arthur H. Compton,35
Chen Ning Yang,35
Frédéric Joliot,35
Martin Luther King Jr.,35
Marie Curie,36
Konstantin Novoselov,36
Adolf Butenandt,36
Archibald V. Hill,36
Pieter Zeeman,37
Niels Bohr,37
Louis de Broglie,37
Enrico Fermi,37
J. Georg Bednorz,37
Ernest Rutherford,37
David Baltimore,37
Manne Siegbahn,38
Gustav Hertz,38
Ernest Lawrence,38
Irène Joliot-Curie,38
Richard Kuhn,38
Richard L.M. Synge,38
Robert Bárány,38
Otto Meyerhof,38
Frederick C. Robbins,38
Georges J.F. Köhler,38
Owen Chamberlain,39
Gerd Binnig,39
Glenn T. Seaborg,39
Alexis Carrel,39
Ernst B. Chain,39
Thomas H. Weller,39
Leymah Gbowee,39
Charles Glover Barkla,40
E. M. Purcell,40
Murray Gell-Mann,40
Samuel C.C. Ting,40
Eric A. Cornell,40
Frederick Sanger,40
Manfred Eigen,40
Hartmut Michel,40
Lech Walesa,40
Robert Schrieffer,41
Victor Grignard,41
Harold C. Urey,41
Arthur Kornberg,41
Marshall W. Nirenberg,41
Howard M. Temin,41
Albert Einstein,42
Sir Venkata Raman,42
Hideki Yukawa,42
Willis E. Lamb,42
Nicolay G. Basov,42
Leon N. Cooper,42
Robert Woodrow Wilson,42
Klaus von Klitzing,42
Adam G. Riess,42
The Svedberg,42
Wendell M. Stanley,42
Archer J.P. Martin,42
Thomas R. Cech,42
William P. Murphy,42
Rudyard Kipling,42
Philipp Lenard,43
Gustaf Dalén,43
James Franck,43
Russell A. Hulse,43
Richard Willstätter,43
Koichi Tanaka,43
Niels Ryberg Finsen,43
Edgar Adrian,43
Gerald M. Edelman,43
Pierre Curie,44
James Chadwick,44
Polykarp Kusch,44
Ivar Giaever,44
Wolfgang Ketterle,44
Brian P. Schmidt,44
Svante Arrhenius,44
Marie Curie,44
Frederick Soddy,44
Edwin M. McMillan,44
Roald Hoffmann,44
Albert Szent-Györgyi,44
Gerhard Domagk,44
Michael S. Brown,44
Albert Camus,44
Johannes Stark,45
George Paget Thomson,45
Wolfgang Pauli,45
Burton Richter,45
Arno Penzias,45
Francis W. Aston,45
John C. Kendrew,45
Johann Deisenhofer,45
Ronald Ross,45
Peter Medawar,45
François Jacob,45
Joseph L. Goldstein,45
Sinclair Lewis,45
Erwin Schrödinger,46
Isidor Isaac Rabi,46
William B. Shockley,46
Robert Hofstadter,46
Steven Weinberg,46
Kenneth G. Wilson,46
Theodore W. Richards,46
Arne Tiselius,46
August Krogh,46
Corneille Heymans,46
Francis Crick,46
Maurice Wilkins,46
Andrew F. Huxley,46
Robert W. Holley,46
H. Gobind Khorana,46
Craig C. Mello,46
Sigrid Undset,46
Pearl Buck,46
Carl von Ossietzky,46
Ralph Bunche,46
Oscar Arias Sánchez,46
Aung San Suu Kyi ,46
Wilhelm Wien,47
Cecil Powell,47
Felix Bloch,47
Julian Schwinger,47
Richard P. Feynman,47
Sheldon Glashow,47
Eduard Buchner,47
Alfred Werner,47
Friedrich Bergius,47
George Porter,47
Roderick MacKinnon,47
Emil von Behring,47
John Macleod,47
Sir Howard Florey,47
Hamilton O. Smith,47
Erwin Neher,47
Andrew Z. Fire,47
Joseph Brodsky,47
Alfred Fried,47
José Ramos-Horta,47
Jody Williams,47
Ernest T.S. Walton,48
John Bardeen,48
Aleksandr M. Prokhorov,48
Leo Esaki,48
Robert B. Laughlin,48
Paul Karrer,48
Kurt Alder,48
Max F. Perutz,48
Robert B. Woodward,48
Walter Gilbert,48
Jean-Marie Lehn,48
Otto Warburg,48
Henrik Dam,48
Bengt I. Samuelsson,48
Susumu Tonegawa,48
Eric F. Wieschaus,48
Carol W. Greider,48
Eugene O'Neill,48
Theodore Roosevelt,48
Gustav Stresemann,48
Georges Pire,48
Carlos Filipe Ximenes Belo,48
Barack H. Obama,48
Hendrik A. Lorentz,49
Owen Willans Richardson,49
Charles H. Townes,49
Ben R. Mottelson,49
James Cronin,49
Steven Chu,49
William D. Phillips,49
Horst L. Störmer,49
Jacobus H. van 't Hoff,49
Hans Fischer,49
