name,bio_thumbnail,bio_link,year_won,nobel_field,year_born,year_died,born_city,died_city,location_at_award,institution,award_city
Wilhelm Conrad Röntgen,/nobel_prizes/physics/laureates/1901/rontgen_thumb.jpg,/nobel_prizes/physics/laureates/1901/rontgen.html,1901, The Nobel Prize in Physics, 1845-03-27, 1923-02-10,"Remscheid, Germany","Munich, Germany","Munich University, Munich, Germany",Munich University,"Munich, Germany"
Hendrik Antoon Lorentz,/nobel_prizes/physics/laureates/1902/lorentz_thumb.jpg,/nobel_prizes/physics/laureates/1902/lorentz.html,1902, The Nobel Prize in Physics, 1853-07-18, 1928-02-04,"Arnhem, the Netherlands",the Netherlands,"Leiden University, Leiden, the Netherlands",Leiden University,"Leiden, the Netherlands"
Pieter Zeeman,/nobel_prizes/physics/laureates/1902/zeeman_thumb.jpg,/nobel_prizes/physics/laureates/1902/zeeman.html,1902, The Nobel Prize in Physics, 1865-05-25, 1943-10-09,"Zonnemaire, the Netherlands","Amsterdam, the Netherlands","Amsterdam University, Amsterdam, the Netherlands",Amsterdam University,"Amsterdam, the Netherlands"
Antoine Henri Becquerel,/nobel_prizes/physics/laureates/1903/becquerel_thumb.jpg,/nobel_prizes/physics/laureates/1903/becquerel.html,1903, The Nobel Prize in Physics, 1852-12-15, 1908-08-25,"Paris, France",France,"École Polytechnique, Paris, France",École Polytechnique,"Paris, France"
Pierre Curie,/nobel_prizes/physics/laureates/1903/pierre-curie_thumb.jpg,/nobel_prizes/physics/laureates/1903/pierre-curie.html,1903, The Nobel Prize in Physics, 1859-05-15, 1906-04-19,"Paris, France","Paris, France","École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry), Paris, France",École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),"Paris, France"
"Marie Curie, née Sklodowska",/nobel_prizes/physics/laureates/1903/marie-curie_thumb.jpg,/nobel_prizes/physics/laureates/1903/marie-curie.html,1903, The Nobel Prize in Physics, 1867-11-07, 1934-07-04,"Warsaw, Poland","Sallanches, France","None, Paris, France",None,"Paris, France"
Lord Rayleigh (John William Strutt),/nobel_prizes/physics/laureates/1904/strutt_thumb.jpg,/nobel_prizes/physics/laureates/1904/strutt.html,1904, The Nobel Prize in Physics, 1842-11-12, 1919-06-30,"Langford Grove, Maldon, Essex, United Kingdom",United Kingdom,"Royal Institution of Great Britain, London, United Kingdom",Royal Institution of Great Britain,"London, United Kingdom"
Philipp Eduard Anton von Lenard,/nobel_prizes/physics/laureates/1905/lenard_thumb.jpg,/nobel_prizes/physics/laureates/1905/lenard.html,1905, The Nobel Prize in Physics, 1862-06-07, 1947-05-20,"Bratislava, Slovakia","Messelhausen, Germany","Kiel University, Kiel, Germany",Kiel University,"Kiel, Germany"
Joseph John Thomson,/nobel_prizes/physics/laureates/1906/thomson_thumb.jpg,/nobel_prizes/physics/laureates/1906/thomson.html,1906, The Nobel Prize in Physics, 1856-12-18, 1940-08-30,"Cheetham Hill, near Manchester, United Kingdom","Cambridge, United Kingdom","University of Cambridge, Cambridge, United Kingdom",University of Cambridge,"Cambridge, United Kingdom"
Albert Abraham Michelson,/nobel_prizes/physics/laureates/1907/michelson_thumb.jpg,/nobel_prizes/physics/laureates/1907/michelson.html,1907, The Nobel Prize in Physics, 1852-12-19, 1931-05-09,"Strzelno, Poland","Pasadena, CA, USA","University of Chicago, Chicago, IL, USA",University of Chicago,"Chicago, IL, USA"
Gabriel Lippmann,/nobel_prizes/physics/laureates/1908/lippmann_thumb.jpg,/nobel_prizes/physics/laureates/1908/lippmann.html,1908, The Nobel Prize in Physics, 1845-08-16, 1921-07-13,"Hollerich, Luxembourg",,"Sorbonne University, Paris, France",Sorbonne University,"Paris, France"
Guglielmo Marconi,/nobel_prizes/physics/laureates/1909/marconi_thumb.jpg,/nobel_prizes/physics/laureates/1909/marconi.html,1909, The Nobel Prize in Physics, 1874-04-25, 1937-07-20,"Bologna, Italy","Rome, Italy","Marconi Wireless Telegraph Co. Ltd., London, United Kingdom",Marconi Wireless Telegraph Co. Ltd.,"London, United Kingdom"
Karl Ferdinand Braun,/nobel_prizes/physics/laureates/1909/braun_thumb.jpg,/nobel_prizes/physics/laureates/1909/braun.html,1909, The Nobel Prize in Physics, 1850-06-06, 1918-04-20,"Fulda, Germany","Brooklyn, NY, USA","Strasbourg University, Strasbourg, Alsace (then Germany, now France)",Strasbourg University,"Strasbourg, France"
Johannes Diderik van der Waals,/nobel_prizes/physics/laureates/1910/waals_thumb.jpg,/nobel_prizes/physics/laureates/1910/waals.html,1910, The Nobel Prize in Physics, 1837-11-23, 1923-03-08,"Leiden, the Netherlands","Amsterdam, the Netherlands","Amsterdam University, Amsterdam, the Netherlands",Amsterdam University,"Amsterdam, the Netherlands"
Wilhelm Wien,/nobel_prizes/physics/laureates/1911/wien_thumb.jpg,/nobel_prizes/physics/laureates/1911/wien.html,1911, The Nobel Prize in Physics, 1864-01-13, 1928-08-30,"Parusnoye, Russia","Munich, Germany","Würzburg University, Würzburg, Germany",Würzburg University,"Würzburg, Germany"
Nils Gustaf Dalén,/nobel_prizes/physics/laureates/1912/dalen_thumb.jpg,/nobel_prizes/physics/laureates/1912/dalen.html,1912, The Nobel Prize in Physics, 1869-11-30, 1937-12-09,"Stenstorp, Sweden","Stockholm, Sweden","Swedish Gas-Accumulator Co., Lidingö-Stockholm, Sweden",Swedish Gas-Accumulator Co.,"Lidingö-Stockholm, Sweden"
Heike Kamerlingh Onnes,/nobel_prizes/physics/laureates/1913/onnes_thumb.jpg,/nobel_prizes/physics/laureates/1913/onnes.html,1913, The Nobel Prize in Physics, 1853-09-21, 1926-02-21,"Groningen, the Netherlands","Leiden, the Netherlands","Leiden University, Leiden, the Netherlands",Leiden University,"Leiden, the Netherlands"
