,name,birth_country_old_name,birth_country_current_name,year,field,birth_lat,birth_lon,birth_country_short_name,age
10,Adolfo Pérez Esquivel,Argentina,Argentina,1980,Peace,-38.416097,-63.616672,AR,49
13,Al Gore,USA,USA,2007,Peace,37.09024,-95.712891,US,59
22,Albert Gobat,Switzerland,Switzerland,1902,Peace,46.818188,8.227512,CH,59
23,Albert Lutuli,Southern Rhodesia,Zimbabwe,1960,Peace,-19.015438,29.154857,ZW,62
24,Albert Schweitzer,Germany,France,1952,Peace,46.227638,2.213749,FR,77
31,Alfonso García Robles,Mexico,Mexico,1982,Peace,23.634501,-102.552784,US,71
33,Alfred Fried,Austria,Austria,1911,Peace,47.516231,14.550072,AT,47
41,Alva Myrdal,Sweden,Sweden,1982,Peace,60.128161,18.643501,SE,80
46,Andrei Sakharov,Russia,Russia,1975,Peace,61.52401,105.318756,RU,54
55,Anwar al-Sadat,Egypt,Egypt,1978,Peace,26.820553,30.802498,EG,60
59,Aristide Briand,France,France,1926,Peace,46.227638,2.213749,FR,64
64,Arthur Henderson,Scotland,Scotland,1934,Peace,56.4906712,-4.2026458,GB,71
70,Auguste Beernaert,Belgium,Belgium,1909,Peace,50.503887,4.469936,BE,80
71,Aung San Suu Kyi,Burma,Myanmar,1991,Peace,21.913965,95.956223,MM,46
73,Barack H. Obama,USA,USA,2009,Peace,37.09024,-95.712891,US,48
82,Bertha von Suttner,Austrian Empire,Czech Republic,1905,Peace,49.817492,15.472962,CZ,62
86,Betty Williams,Northern Ireland,Northern Ireland,1976,Peace,54.7877149,-6.4923145,GB,33
103,Carl von Ossietzky,Germany,Germany,1935,Peace,51.165691,10.451526,DE,46
105,Carlos Filipe Ximenes Belo,East Timor,East Timor,1996,Peace,-8.874217,125.727539,TL,48
106,Carlos Saavedra Lamas,Argentina,Argentina,1936,Peace,-38.416097,-63.616672,AR,58
111,Charles G. Dawes,USA,USA,1925,Peace,37.09024,-95.712891,US,60
121,Christian Lange,Norway,Norway,1921,Peace,60.472024,8.468946,NO,52
131,Cordell Hull,USA,USA,1945,Peace,37.09024,-95.712891,US,74
137,Dag Hammarskjöld,Sweden,Sweden,1961,Peace,60.128161,18.643501,SE,56
151,David Trimble,Northern Ireland,Northern Ireland,1998,Peace,54.7877149,-6.4923145,GB,54
155,Desmond Tutu,South Africa,South Africa,1984,Peace,-30.559482,22.937506,ZA,53
182,Eisaku Sato,Japan,Japan,1974,Peace,36.204824,138.252924,JP,73
186,Elie Wiesel,Romania,Romania,1986,Peace,45.943161,24.96676,RO,58
187,Elihu Root,USA,USA,1912,Peace,37.09024,-95.712891,US,67
190,Ellen Johnson Sirleaf,Liberia,Liberia,2011,Peace,6.428055,-9.429499,LR,73
194,Emily Greene Balch,USA,USA,1946,Peace,37.09024,-95.712891,US,79
206,Ernesto Teodoro Moneta,Austrian Empire,Italy,1907,Peace,41.87194,12.56738,IT,74
